"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","204.79.197.200","172.16.165.165","TCP","60","80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"2","0.000000","204.79.197.200","172.16.165.165","TCP","60","80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"3","0.101536","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"4","0.101537","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"5","0.206296","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"6","0.206297","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"7","0.300535","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"8","0.300536","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"9","0.400631","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"10","0.400632","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"11","0.440931","131.253.61.84","172.16.165.165","TLSv1","113","Change Cipher Spec, Encrypted Handshake Message"
"12","0.443985","172.16.165.165","131.253.61.84","TLSv1","811","Application Data"
"13","0.444204","131.253.61.84","172.16.165.165","TCP","60","443  >  49435 [ACK] Seq=60 Ack=758 Win=64240 Len=0"
"14","0.500740","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"15","0.500741","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"16","0.600966","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"17","0.600967","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"18","0.701032","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"19","0.701033","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"20","0.801164","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"21","0.801165","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"22","0.901601","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"23","0.901677","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"24","1.002684","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"25","1.002932","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"26","1.103088","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"27","1.103089","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"28","1.203290","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"29","1.203291","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"30","1.304072","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"31","1.304072","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"32","1.404341","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"33","1.404342","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"34","1.511121","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"35","1.511122","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"36","1.605806","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"37","1.605807","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"38","1.668678","131.253.61.84","172.16.165.165","TLSv1","619","Application Data"
"39","1.668709","172.16.165.165","131.253.61.84","TCP","54","49435  >  443 [ACK] Seq=758 Ack=626 Win=62916 Len=0"
"40","1.669748","172.16.165.165","131.253.61.84","TCP","54","49435  >  443 [FIN, ACK] Seq=758 Ack=626 Win=62916 Len=0"
"41","1.670636","131.253.61.84","172.16.165.165","TCP","60","443  >  49435 [ACK] Seq=626 Ack=759 Win=64239 Len=0"
